EMPID,STATUS,TITLE,DEPARTMENT,FUNCTION,DIVISION,UNION_STATUS,EMPLOYMENT_CATEGORY,AGE,GENERATION,PAY_SCALE_GROUP,GENDER,ETHNIC_ORIGIN,ACTION_REASON,LAST_PERFORMANCE_RATING,LAST_POTENTIAL_RATING,EMPLOYEE_PAY_FREQUENCY,EMPLOYEE_PAY_BASIS,MANAGER_ID,ACTION_TYPE
6021,Active,Merchandiser,Sales-West,Sales,Sales,Union,Regular Employee FT,28,Generation Y,Not Assigned,Male,H,,No Rating,No Rating,Weekly,Hourly,S3727,
6028,Active,Driver,Operations-West,Operations,Product,Non-Union,Regular Employee FT,28,Generation Y,Group C,Male,B,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S730,
6035,Active,Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,28,Generation Y,Group C,Male,W,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S709,
6042,Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,28,Generation Y,Group C,Male,H,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Daily,S381,
6049,Active,Team Lead,Factory-Central,Manufacturing,Product,Non-Union,Regular Employee FT,28,Generation Y,Group C,Male,H,,Developing/Meets Some,Not assigned,Bi-Weekly,Hourly,S1394,
6056,Active,Driver,Operations-West,Operations,Product,Union,Regular Employee FT,28,Generation Y,Not Assigned,Male,H,,No Rating,No Rating,Bi-Weekly,Hourly,S2285,
6063,Active,Driver,Operations-West,Operations,Product,Non-Union,Regular Employee FT,28,Generation Y,Group C,Male,W,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Daily,S558,
6070,Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee PT,28,Generation Y,Group C,Male,H,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S1241,
6077,Active,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,28,Generation Y,Group C,Male,W,,Too New,Not assigned,Weekly,Hourly,S3495,
6084,Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee PT,28,Generation Y,Group C,Male,B,,No Rating,No Rating,Bi-Weekly,Hourly,S2216,
6091,Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,28,Generation Y,Group C,Male,B,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Daily,S196,
6098,Active,Account Executive,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,28,Generation Y,Group C,Male,H,,Meets & Exceeds,Not assigned,Bi-Weekly,Daily,S433,
6105,Active,Representative,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,28,Generation Y,Group C,Male,W,,Meets & Exceeds,Not assigned,Weekly,Hourly,S1820,
6112,Terminated,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee PT,28,Generation Y,Group C,Male,W,Resigned - Personal Reasons,No Rating,No Rating,Bi-Weekly,Hourly,S2403,Voluntary Separation
6119,Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,28,Generation Y,Group C,Male,B,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Daily,S412,
6126,Active,Merchandiser,Sales-East,Sales,Sales,Union,Regular Employee FT,28,Generation Y,Group M,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S1867,
6133,Active,Service Representative,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,28,Generation Y,Group C,Female,W,,Exceeds,Not assigned,Semi-Mont,Salary,S3113,
6140,Terminated,Sales Manager,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,28,Generation Y,Group C,Female,B,Resigned - Career Prospects,Successfully Meets Expectations,Emerging Talent,Monthly,Salary,S4824,Voluntary Separation
6147,Terminated,Merchandiser,Sales-East,Sales,Sales,Union,Regular Employee FT,27,Generation Y,Group M,Male,W,Resigned - Personal Reasons,No Rating,No Rating,Bi-Weekly,Hourly,S1867,Voluntary Separation
6154,Active,Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,28,Generation Y,Group C,Male,H,,No Rating,No Rating,Bi-Weekly,Daily,S738,
6161,Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee FT,28,Generation Y,Group C,Male,H,,No Rating,No Rating,Bi-Weekly,Hourly,S2477,
6168,Terminated,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee PT,28,Generation Y,Group C,Male,W,Resigned - Personal Reasons,No Rating,No Rating,Bi-Weekly,Hourly,S1170,Voluntary Separation
6175,Active,Support Representative,HR,HR,Corporate,Non-Union,Regular Employee FT,28,Generation Y,Group C,Female,H,,Developing/Meets Some,Not assigned,Bi-Weekly,Hourly,S2845,
6182,Active,Service Representative,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,28,Generation Y,Group C,Female,W,,No Rating,No Rating,Bi-Weekly,Hourly,S3047,
6189,Terminated,Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,28,Generation Y,Group C,Female,W,Resigned - Personal Reasons,No Rating,No Rating,Bi-Weekly,Daily,S93,Voluntary Separation
6196,Active,Merchandiser,Sales-West,Sales,Sales,Union,Regular Employee FT,28,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S2502,
6203,Active,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,28,Generation Y,Group C,Male,H,,Successfully Meets Expectations,Not assigned,Weekly,Hourly,S715,
6210,Active,Laborer,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,28,Generation Y,Group C,Male,B,,Meets & Exceeds,Not assigned,Bi-Weekly,Hourly,S1505,
6217,Active,Driver,Operations-West,Operations,Product,Union,Regular Employee FT,28,Generation Y,Not Assigned,Male,H,,No Rating,No Rating,Bi-Weekly,Hourly,S2938,
6224,Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee FT,28,Generation Y,Group C,Male,W,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S2164,
6231,Active,Representative,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,28,Generation Y,Group C,Male,W,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S2096,
6238,Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,28,Generation Y,Group C,Male,W,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S2616,
6245,Active,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,28,Generation Y,Group C,Male,X,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S2038,
6252,Active,Facilitator,Factory-Central,Manufacturing,Product,Non-Union,Regular Employee FT,28,Generation Y,Group C,Female,H,,No Rating,No Rating,Bi-Weekly,Hourly,S1235,
6259,Active,Supervisor,Operations-West,Operations,Product,Non-Union,Regular Employee FT,28,Generation Y,Group C,Female,H,,Successfully Meets Expectations,Strong Contributor,Bi-Weekly,Salary,S4799,
6266,Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,28,Generation Y,Group C,Male,B,,Developing/Meets Some,Not assigned,Bi-Weekly,Hourly,S2257,
6273,Active,Laborer,Operations-East,Operations,Product,Union,Regular Employee FT,28,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S1195,
6280,Active,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee FT,28,Generation Y,Group C,Male,W,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S654,
6287,Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee PT,28,Generation Y,Group C,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S462,
6294,Active,Laborer,Operations-West,Operations,Product,Union,Regular Employee FT,28,Generation Y,Not Assigned,Male,B,,No Rating,No Rating,Weekly,Hourly,S3629,
6301,Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee FT,28,Generation Y,Group C,Male,B,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S1684,
6308,Terminated,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,28,Generation Y,Group C,Male,W,Resigned - Career Prospects,Developing/Meets Some,Not assigned,Bi-Weekly,Hourly,S2516,Voluntary Separation
6315,Active,Administrator,Finance,Finance & IT,Corporate,Non-Union,Regular Employee FT,28,Generation Y,Group C,Female,X,,No Rating,No Rating,Bi-Weekly,Hourly,S1118,
6322,Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee FT,28,Generation Y,Group C,Male,B,,Meets & Exceeds,Not assigned,Bi-Weekly,Hourly,S2133,
6329,Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,28,Generation Y,Group C,Male,W,,No Rating,No Rating,Bi-Weekly,Daily,S327,
6336,Active,Administrator,Finance,Finance & IT,Corporate,Non-Union,Regular Employee FT,28,Generation Y,Group C,Female,W,,Meets & Exceeds,Not assigned,Bi-Weekly,Hourly,S2169,
6343,Active,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,28,Generation Y,Group C,Male,H,,Too New,Not assigned,Weekly,Hourly,S3790,
6350,Active,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,28,Generation Y,Group C,Male,W,,Meets & Exceeds,Not assigned,Bi-Weekly,Hourly,S2465,
6357,Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,28,Generation Y,Group C,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S1362,
6364,Active,Merchandiser,Sales-Central,Sales,Sales,Union,Regular Employee FT,29,Generation Y,Not Assigned,Male,B,,No Rating,No Rating,Weekly,Hourly,S3680,
6371,Active,Account Manager,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S1813,
6378,Active,Merchandiser,Sales-West,Sales,Sales,Union,Regular Employee FT,29,Generation Y,Not Assigned,Male,H,,No Rating,No Rating,Bi-Weekly,Hourly,S2202,
6385,Active,Supervisor,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,H,,Developing/Meets Some,Not assigned,Semi-Mont,Salary,S3978,
6392,Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,B,,Too New,Strong Contributor,Bi-Weekly,Daily,S540,
6399,Active,Forklift Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,H,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S2487,
6406,Active,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,H,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S2511,
6413,Active,Merchandiser,Sales-East,Sales,Sales,Union,Regular Employee PT,29,Generation Y,Not Assigned,Male,B,,No Rating,No Rating,Weekly,Hourly,S3705,
6420,Terminated,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee FT,28,Generation Y,Group C,Male,H,Resigned - Personal Reasons,No Rating,No Rating,Bi-Weekly,Hourly,S2980,Voluntary Separation
6427,Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,W,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Daily,S419,
6434,Terminated,Manager,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,28,Generation Y,Group C,Male,W,Resigned - Career Prospects,Successfully Meets Expectations,Not assigned,Monthly,Salary,S4814,Voluntary Separation
6441,Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee PT,29,Generation Y,Group C,Male,H,,No Rating,No Rating,Bi-Weekly,Hourly,S556,
6448,Active,Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,W,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S709,
6455,Active,Staff Associate,Sales-West,Sales,Sales,Union,Regular Employee FT,29,Generation Y,Group C,Male,U,,No Rating,No Rating,Bi-Weekly,Hourly,S2852,
6462,Terminated,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee PT,28,Generation Y,Group C,Male,W,Resigned - Job Abandonment,Developing/Meets Some,Not assigned,Bi-Weekly,Hourly,S2488,Voluntary Separation
6469,Active,Merchandiser,Sales-Central,Sales,Sales,Union,Regular Employee FT,29,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S1092,
6476,Active,Planner,Support,Support,Product,Non-Union,Regular Employee FT,29,Generation Y,Group C,Female,B,,Developing/Meets Some,Strong Contributor,Weekly,Hourly,S3554,
6483,Active,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,W,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S2465,
6490,Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,B,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S2146,
6497,Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,29,Generation Y,Group C,Female,W,,Meets & Exceeds,Not assigned,Bi-Weekly,Hourly,S2176,
6504,Active,Mechanic,Customer Service,Customer Care,Customer Care,Union,Regular Employee FT,29,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S1076,
6511,Active,Driver,Operations-West,Operations,Product,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,B,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Daily,S387,
6518,Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,W,,Meets & Exceeds,Not assigned,Bi-Weekly,Daily,S648,
6525,Active,Merchandiser,Operations-East,Operations,Product,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,W,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S418,
6532,Active,Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,W,,Developing/Meets Some,Not assigned,Bi-Weekly,Hourly,S1788,
6539,Terminated,Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,28,Generation Y,Group C,Male,W,End of Contract/Temp Assign,No Rating,No Rating,Bi-Weekly,Daily,S503,Voluntary Separation
6546,Active,Forklift Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,H,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S1027,
6553,Active,Supervisor,Operations-West,Operations,Product,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,A,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Salary,S1130,
6560,Active,Driver,Operations-West,Operations,Product,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,B,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Daily,S435,
6567,Terminated,Mechanic,Customer Service,Customer Care,Customer Care,Union,Regular Employee FT,28,Generation Y,Not Assigned,Male,O,Resigned - Personal Reasons,No Rating,No Rating,Weekly,Hourly,S891,Voluntary Separation
6574,Active,Account Manager,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,W,,No Rating,No Rating,Bi-Weekly,Salary,S4833,
6581,Active,Driver,Operations-West,Operations,Product,Union,Regular Employee FT,29,Generation Y,Not Assigned,Male,H,,No Rating,No Rating,Weekly,Hourly,S3710,
6588,Active,Merchandiser,Sales-Central,Sales,Sales,Union,Regular Employee FT,29,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S2762,
6595,Active,Technician,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,W,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S2061,
6602,Active,Laborer,Operations-East,Operations,Product,Union,Regular Employee FT,29,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S1437,
6609,Terminated,Operator,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,28,Generation Y,Group C,Male,W,Resigned - Working Conditions,No Rating,No Rating,Weekly,Hourly,S3989,Voluntary Separation
6616,Terminated,Customer Service Representative,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,28,Generation Y,Group C,Male,W,Resigned - Job Abandonment,No Rating,No Rating,Bi-Weekly,Hourly,S2944,Voluntary Separation
6623,Active,Technician,Factory-East,Manufacturing,Product,Union,Regular Employee FT,29,Generation Y,Not Assigned,Male,B,,No Rating,No Rating,Weekly,Hourly,S3346,
6630,Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,W,,Exceeds,Not assigned,Bi-Weekly,Daily,S456,
6637,Active,Mechanic,Support,Support,Product,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,H,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S2185,
6644,Active,Engineer,Support,Support,Product,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,W,,Meets & Exceeds,Not assigned,Bi-Weekly,Salary,S4105,
6651,Terminated,Technician,Support,Support,Product,Non-Union,Regular Employee FT,29,Generation Y,Group C,Female,A,Resigned - Personal Reasons,No Rating,No Rating,Bi-Weekly,Hourly,S1781,Voluntary Separation
6658,Active,Specialist,HR,HR,Corporate,Non-Union,Regular Employee FT,29,Generation Y,Group C,Female,H,,Meets & Exceeds,Not assigned,Bi-Weekly,Hourly,S2101,
6665,Terminated,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee PT,28,Generation Y,Group C,Male,B,Resigned - Personal Reasons,Developing/Meets Some,Not assigned,Bi-Weekly,Hourly,S1039,Voluntary Separation
6672,Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee PT,29,Generation Y,Group C,Male,B,,No Rating,No Rating,Bi-Weekly,Hourly,S764,
6679,Active,Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,W,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Daily,S649,
6686,Active,Mover,Operations-West,Operations,Product,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S1360,
6693,Terminated,Sales Manager,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,28,Generation Y,Group C,Female,W,Resigned - Career Prospects,Successfully Meets Expectations,Strong Contributor,Monthly,Salary,S4565,Voluntary Separation
6700,Active,Driver,Operations-West,Operations,Product,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,W,,No Rating,No Rating,Bi-Weekly,Daily,S181,
6707,Active,Driver,Operations-West,Operations,Product,Union,Regular Employee FT,29,Generation Y,Not Assigned,Male,H,,No Rating,No Rating,Weekly,Hourly,S3710,
6714,Active,Operator,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,B,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S1798,
6721,Active,Merchandiser,Sales-Central,Sales,Sales,Union,Regular Employee FT,29,Generation Y,Not Assigned,Male,B,,No Rating,No Rating,Weekly,Daily,S873,
6728,Active,Merchandiser,Sales-West,Sales,Sales,Union,Regular Employee FT,29,Generation Y,Not Assigned,Male,H,,No Rating,No Rating,Bi-Weekly,Hourly,S2450,
6735,Terminated,Sales Manager,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,W,Resigned - Career Prospects,No Rating,No Rating,Monthly,Salary,S5555,Voluntary Separation
6742,Active,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,H,,Successfully Meets Expectations,Not assigned,Weekly,Hourly,S3608,
6749,Active,Driver,Operations-West,Operations,Product,Union,Regular Employee FT,29,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,Weekly,Hourly,S3661,
6756,Active,Merchandiser,Sales-Central,Sales,Sales,Union,Regular Employee FT,29,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S76,
6763,Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S2135,
6770,Active,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,B,,No Rating,No Rating,Bi-Weekly,Hourly,S2989,
6777,Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,H,,No Rating,No Rating,Bi-Weekly,Daily,S678,
6784,Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee PT,29,Generation Y,Group C,Male,B,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S196,
6791,Terminated,Laborer,Factory-Central,Manufacturing,Product,Union,Regular Employee FT,29,Generation Y,Not Assigned,Male,B,Resigned - Job Abandonment,No Rating,No Rating,Weekly,Hourly,S3338,Voluntary Separation
6798,Active,Marketing Representative,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,W,,Meets & Exceeds,Not assigned,Weekly,Hourly,S3421,
6805,Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,B,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S1263,
6812,Active,Laborer,Operations-East,Operations,Product,Union,Regular Employee FT,29,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S2364,
6819,Active,Laborer,Operations-East,Operations,Product,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,B,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S2153,
6826,Terminated,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee PT,28,Generation Y,Group C,Female,B,Resigned - Personal Reasons,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S352,Voluntary Separation
6833,Terminated,Supervisor,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,B,Resigned - Career Prospects,Successfully Meets Expectations,Not assigned,Monthly,Salary,S1777,Voluntary Separation
6840,Active,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee PT,29,Generation Y,Group C,Male,X,,No Rating,No Rating,Bi-Weekly,Hourly,S1875,
6847,Active,Merchandiser,Sales-Central,Sales,Sales,Union,Regular Employee FT,29,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S2184,
6854,Active,Operator,Support,Support,Product,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,H,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S1954,
6861,Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee PT,29,Generation Y,Group C,Male,W,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S3037,
6868,Active,Customer Service Representative,Customer Service,Customer Care,Customer Care,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,X,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S3118,
6875,Active,Labor,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,W,,Successfully Meets Expectations,Not assigned,Weekly,Hourly,S3955,
6882,Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,W,,Meets & Exceeds,Not assigned,Bi-Weekly,Daily,S446,
6889,Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,H,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Daily,S68,
6896,Active,Merchandiser,Sales-East,Sales,Sales,Union,Regular Employee FT,29,Generation Y,Group M,Male,W,,No Rating,No Rating,Bi-Weekly,Hourly,S2247,
6903,Active,Driver,Operations-West,Operations,Product,Union,Regular Employee FT,29,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,Bi-Weekly,Daily,S581,
6910,Active,Forklift Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,H,,Developing/Meets Some,Not assigned,Bi-Weekly,Hourly,S2163,
6917,Active,Laborer,Operations-West,Operations,Product,Union,Regular Employee FT,29,Generation Y,Not Assigned,Male,H,,No Rating,No Rating,Bi-Weekly,Hourly,S2797,
6924,Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee PT,29,Generation Y,Group C,Male,N,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S2403,
6931,Active,Clerk,Operations-East,Operations,Product,Non-Union,Regular Employee FT,29,Generation Y,Group C,Female,B,,No Rating,No Rating,Bi-Weekly,Hourly,S1043,
6938,Active,Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,B,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S711,
6945,Active,Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,W,,Developing/Meets Some,Not assigned,Bi-Weekly,Daily,S29,
6952,Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee PT,29,Generation Y,Group C,Male,B,,Too New,Not assigned,Bi-Weekly,Hourly,S585,
6959,Active,Merchandiser,Sales-West,Sales,Sales,Non-Union,Regular Employee FT,30,Generation Y,Group C,Male,W,,Successfully Meets Expectations,Not assigned,Weekly,Hourly,S3560,
6966,Active,Merchandiser,Sales-Central,Sales,Sales,Union,Regular Employee FT,30,Generation Y,Not Assigned,Male,W,,No Rating,No Rating,Weekly,Hourly,S3671,
6973,Active,Technician,Customer Service,Customer Care,Customer Care,Union,Regular Employee FT,30,Generation Y,Not Assigned,Male,B,,No Rating,No Rating,Bi-Weekly,Hourly,S1151,
6980,Active,Merchandiser,Sales-Central,Sales,Sales,Non-Union,Regular Employee FT,30,Generation Y,Group C,Male,W,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S1279,
6987,Terminated,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,W,Resigned - Pay/Benefits,Successfully Meets Expectations,Not assigned,Bi-Weekly,Hourly,S2162,Voluntary Separation
6994,Active,Laborer,Operations-West,Operations,Product,Union,Regular Employee FT,30,Generation Y,Not Assigned,Male,H,,No Rating,No Rating,Weekly,Hourly,S3562,
7001,Active,Merchandiser,Sales-East,Sales,Sales,Non-Union,Regular Employee PT,30,Generation Y,Group C,Male,B,,No Rating,No Rating,Bi-Weekly,Hourly,S507,
7008,Terminated,Technician,Factory-East,Manufacturing,Product,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,B,Resigned - Career Prospects,Meets & Exceeds,Not assigned,Weekly,Hourly,S4044,Voluntary Separation
7015,Active,Account Manager,Sales-East,Sales,Sales,Non-Union,Regular Employee FT,30,Generation Y,Group C,Male,W,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Salary,S4681,
7022,Active,Forklift Driver,Operations-East,Operations,Product,Non-Union,Regular Employee FT,30,Generation Y,Group C,Female,W,,No Rating,No Rating,Bi-Weekly,Hourly,S2153,
7029,Terminated,Laborer,Operations-West,Operations,Product,Non-Union,Regular Employee FT,29,Generation Y,Group C,Male,W,Resigned - Career Prospects,No Rating,No Rating,Bi-Weekly,Hourly,S1869,Voluntary Separation
7036,Active,Staff Associate,Operations-West,Operations,Product,Union,Regular Employee FT,30,Generation Y,Group C,Male,U,,No Rating,No Rating,Bi-Weekly,Hourly,S3213,
7043,Active,Driver,Operations-West,Operations,Product,Non-Union,Regular Employee FT,30,Generation Y,Group C,Male,W,,Successfully Meets Expectations,Not assigned,Bi-Weekly,Daily,S676,
